id_artykul,tytul,podtytul,data_utworzenia,status,data_zmiany
51,"Innowacyjne metody zarządzania projektami","Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-24 07:45:00,UTWORZONY,2024-01-24 09:00:00
52,"Etyka w rozwoju sztucznej inteligencji","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 08:15:00,FINALIZACJA,2024-01-24 09:30:00
53,"Nowe trendy w designie graficznym","Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-24 08:45:00,W KOREKCIE,2024-01-24 10:00:00
54,"Rola danych w nowoczesnym biznesie","Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-24 09:30:00,UTWORZONY,2024-01-24 10:45:00
55,"Zastosowanie sztucznej inteligencji w marketingu","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 10:00:00,FINALIZACJA,2024-01-24 11:15:00
56,"Nowe technologie w edukacji","Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-24 10:30:00,W KOREKCIE,2024-01-24 11:45:00
57,"Budowa zespołów w środowisku zdalnym","Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-24 11:15:00,UTWORZONY,2024-01-24 12:30:00
58,"Rola sztucznej inteligencji w biznesie","Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-24 11:45:00,FINALIZACJA,2024-01-24 13:00:00
59,"Nowoczesne podejście do zdrowego stylu życia","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 12:30:00,UTWORZONY,2024-01-24 13:45:00
60,"Wpływ sztucznej inteligencji na edukację","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",2024-01-24 13:00:00,FINALIZACJA,2024-01-24 14:15:00
61,"Nowe trendy w projektowaniu interfejsów","Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-24 13:45:00,W KOREKCIE,2024-01-24 15:00:00
62,"Etyka w sztucznej inteligencji","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 14:15:00,UTWORZONY,2024-01-24 15:30:00
63,"Przyszłość pracy zdalnej","Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-24 14:45:00,UTWORZONY,2024-01-24 16:00:00
64,"Wpływ sztucznej inteligencji na sztukę","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 15:30:00,FINALIZACJA,2024-01-24 16:45:00
65,"Nowe spojrzenie na edukację dziecięcą","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",2024-01-24 16:00:00,UTWORZONY,2024-01-24 17:15:00
66,"Rozwój sztucznej inteligencji w medycynie","Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-24 16:30:00,W KOREKCIE,2024-01-24 17:45:00
67,"E-commerce po pandemii","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 17:15:00,FINALIZACJA,2024-01-24 18:30:00
68,"Budowa zespołów w środowisku zdalnym","Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-24 17:45:00,UTWORZONY,2024-01-24 19:00:00
69,"Przyszłość transportu publicznego","Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-24 18:30:00,FINALIZACJA,2024-01-24 19:45:00
70,"Nowoczesne podejście do zdrowego stylu życia","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 19:15:00,UTWORZONY,2024-01-24 20:30:00
71,"Wpływ sztucznej inteligencji na edukację","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.",2024-01-24 19:45:00,W KOREKCIE,2024-01-24 20:00:00
72,"Nowe trendy w projektowaniu interfejsów","Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum.",2024-01-24 20:30:00,FINALIZACJA,2024-01-24 21:45:00
73,"Etyka w sztucznej inteligencji","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 21:00:00,UTWORZONY,2024-01-24 22:15:00
74,"Przyszłość pracy zdalnej","Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",2024-01-24 21:30:00,UTWORZONY,2024-01-24 22:45:00
75,"Wpływ sztucznej inteligencji na sztukę","Ut enim ad minim veniam quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2024-01-24 22:15:00,FINALIZACJA,2024-01-24 23:30:00
